No.,Title,Author,Publication,Start_Year,End_Year,Publication_Type,Source,비고
248,각선당의 비극 : 오상근 장편소설,오상근,베스트하우스,2020,,Book,"MK, DN",
249,공개수배 : 현직 형사가 실제 사건을 바탕으로 재구성한 스릴러 : 김홍철 장편소설,김홍철,청어,2020,,Book,"MK, DN",
250,깨어나지 말 걸 그랬어 : 김하림 미스터리 스릴러,김하림,고즈넉이엔티,2020,,Book,"MK, MN",
251,나침반. 2. 꼭두각시 인형,해윰,부크크,2020,,Book,"MK, DN",
252,녹나무관의 비밀 : 조정래 장편소설,조정래,청암,2020,,Book,"MK, DN",
253,다른 남자 : 정은수 장편소설,정은수,엘릭시르,2020,,Book,"MK, DN",
254,무덤 속의 죽음 : 을지문덕탐정록 : 정명섭 장편소설,정명섭,들녘,2020,,Book,"MK, DN",
255,바리스타 탐정 마환 : 평생도의 비밀 : 양수련 장편소설,양수련,몽실북스,2020,,Book,"MK, DN",
256,비행엄마 : 이지은 미스터리 스릴러,이지은,고즈넉이엔티,2020,,Book,"MK, MN",
257,산매리 저수지 : 아무도 몰라야 했던 16년 전의 암수살인 : 김주앙 소설,김주앙,비티비북스,2020,,Book,"MK, DN",
258,살인자의 쇼핑몰 : 강지영 장편소설,강지영,자음과모음,2020,,Book,"MK, DN",
259,삼각파도 속으로 : 황세연 해양미스터리 장편소설,황세연,들녘,2020,,Book,"MK, DN, MN",동일
260,세 개의 잔 : 도진기 장편소설,도진기,시공사,2020,,Book,"MK, DN",
261,순결한 탐정 김재건과 춤추는 꼭두각시 : 박하루 탐정소설,박하루,엘릭시르,2020,,Book,"MK, DN",
262,스프 미스터리 : GF anthology,"정명섭,김이환,장아미,남유하",그래비티북스,2020,,Anthology,"MK, MN",
263,심판 : symphony in C minor 'Justice' : 임재도 장편추리소설,임재도,지식과감성#,2020,,Book,"MK, DN",
264,언노운 피플 : 김나영 미스터리 스릴러,김나영,고즈넉이엔티,2020,,Book,"MK, MN",
265,염탐자가 찾는 소리 : 성혜정 미스터리 장편소설,성혜정,맑은샘,2020,,Book,"MK, MN",
266,영원의 밤 : 춤을 추다가 죽게 되리라 : 이소민 장편소설,이소민,엘릭시르,2020,,Book,"MK, DN",
267,온달장군 살인사건 : 을지문덕탐정록,정명섭,들녘,2020,,Book,"MK, DN",
268,이레 : 김달리 미스터리 스릴러,김달리,고즈넉이엔티,2020,,Book,"MK, MN",
269,적의 연작 살인사건 : 이동원 추리소설,이동원,휴먼앤북스,2020,,Book,"MK, DN, MN",동일
270,조선 명탐정 견음 : 천포 추리소설,천포,드림공작소,2020,,Book,"MK, DN",
271,주관식 문제 : 장우석 소설,장우석,책과나무,2020,,Book,"MK, DN",
272,찾고 싶다 : 노효두 미스터리 스릴러,노효두,고즈넉이엔티,2020,,Book,"MK, MN",
273,추락 : 한 사내가 72시간 동안 겪는 기묘한 함정 이야기 : 정명섭 장편소설,정명섭,북오션,2020,,Book,"MK, DN",
274,크로스드레서,강현옥,부크크,2020,,Book,"MK, DN",
275,파멸일기 : 윤자영 장편소설,윤자영,몽실북스,2020,,Book,"MK, DN",
276,프라다를 입는 변호사 : 야화 소설집,야화,가쎄,2020,,Book,"MK, MN",
277,피아노가 울리면 : 김동하 미스터리 스릴러,김동하,고즈넉이엔티,2020,,Book,"MK, MN",
278,행복배틀 : 주영하 미스터리 스릴러,주영하,고즈넉이엔티,2020,,Book,"MK, MN",
279,혐오자살 : 조영주 장편소설,조영주,CABINET(캐비넷),2020,,Book,"MK, DN",
280,History of nowhere,Yogi Huh,부크크,2020,,Book,"MK, DN",
281,"(살인자를 기다리는 공간,) 기억 서점 : 정명섭 장편소설",정명섭,시공사,2021,,Book,"MK, DN",
282,(태종 이방원의) 고백 : 정도전 암살 미스터리 : 이재운 장편소설,이재운,책이있는마을,2021,,Book,"MK, MN",
283,(한국추리문학상) 황금펜상 수상작품집 : 2007~2020 특별판 : 큰글자책,"황세연,김유철,박하익,송시우,조동신,홍성호,공민철,한이,정가일",나비클럽,2021,,Anthology,"MK, DN",
284,(한국추리문학상) 황금펜상 수상작품집 : 2021 제15회,"한이,홍정기,홍성호,한새마,황세연,류성희,장우석",나비클럽,2021,,Anthology,"MK, DN",
285,4인의 회귀자 : 도레미(신종 마약),봉원근,북팟,2021,,Book,"MK, DN",
286,가장 무서운 예언 사건 : 곽재식 장편소설,곽재식,요다,2021,,Book,"MK, DN",
287,검은 머리 짐승들 : 최가설 현대 sf·미스터리,최가설,스크로파,2021,,Book,"MK, MN",
288,경계인 : 김민현 장편소설,김민현,스윙테일,2021,,Book,"MK, DN",
289,경성 부녀자 고민상담소 : 경성 최초 &lt;고민상담소&gt; 여성 탐정 삼총사의 활약기,김재희,북오션,2021,,Book,"MK, DN",
290,경성 부녀자 고민상담소 : 경성 최초 &lt;고민상담소&gt; 여성 탐정 삼총사의 활약기 : 큰글자책,김재희,북오션,2021,,Book,"MK, DN",
291,공개수배 : 현직 형사가 실제 사건을 바탕으로 재구성한 스릴러 : 김홍철 장편소설. 2,김홍철,청어,2021,,Book,"MK, DN",
292,교통사고 전문 삼비 탐정 : 윤자영 연작추리소설,윤자영,북오션,2021,,Book,"MK, DN",
293,교통사고 전문 삼비 탐정 : 윤자영 연작추리소설 : 큰글자책,윤자영,북오션,2021,,Book,"MK, DN",
294,꼭 알아야 할 저승 가이드 : 오묘한 미스터리 체험소설 : 전생에 저승사자였던 저자의 환상소설,최설도,도리도리,2021,,Book,"MK, MN",
295,나비 : 기억을 지우는 자 : 김다인 장편소설,김다인,스윙테일,2021,,Book,"MK, MN",
296,내가 죽인 남자가 돌아왔다 : 큰글자도서,황세연,마카롱,2021,,Book,"MK, DN",
297,네 번의 노크 : 케이시 장편소설,케이시,인플루엔셜,2021,,Book,"MK, DN",
298,놈의 기억 : 윤이나 장편소설,윤이나,팩토리나인,2021,,Book,"MK, DN",
299,다감 선생님은 아이들이 싫다 : 가슴이 따뜻해지고 울컥해지는 힐링 미스터리,공민철,아프로스미디어,2021,,Book,"MK, MN",
300,단 하나의 이름도 잊히지 않게 : 여성 미스터리 소설집,"서미애,송시우,정해연",에오스,2021,,Anthology,"MK, MN",
301,단 한 명의 조문객 : 특별감식관_DNA 초상 기록 No.2035-01 : 이성탄 과학추리소설,이성탄,그래비티북스,2021,,Book,"MK, DN",
302,단풍나무 저택의 유산,홍기연,황금가지,2021,,Book,"MK, DN",
303,"러브 앤 크라프트, 풍요실버타운의 사랑 : 김재희 소설집",김재희,책과나무,2021,,Book,"MK, DN",
304,레시피 : 최정원 미스터리 스릴러 소설집,최정원,아프로스미디어,2021,,Book,"MK, MN",
305,로하의 세상 : 김남겸 장편소설,김남겸,아프로스미디어,2021,,Book,"MK, DN",
306,마담 타로,이수아,책과나무,2021,,Book,"MK, DN",
307,맹탐정 고민 상담소 : 이선주 장편소설. 2-3,이선주,문학동네,2021,2023,Book,"MK, DN",
308,면식범 : 노효두 미스터리 스릴러,노효두,고즈넉이엔티,2021,,Book,"MK, MN",
309,모든 비밀에는 이름이 있다 : 서미애 장편소설,서미애,엘릭시르,2021,,Book,"MK, DN",
310,바이칼 호수 : 백조의 부활 : 김주앙 장편추리소설,김주앙,엠지엠그룹,2021,,Book,"MK, DN",
311,성균관 불량 유생뎐 : 지하 미궁의 시귀들 : 정명섭 추리소설,"정명섭,김민성",새파란상상,2021,,Book,"MK, DN",
312,수상한 유튜버 과학 탐정 : 과학 x 추리 live,윤자영,탐,2021,,Book,"MK, DN",
313,신 전래특급 : 너무나 낯익지만 잔혹한 이야기,박해로,북오션,2021,,Book,"MK, DN",
314,"심판의 날 : 화형, 죽어 마땅한 자들 : 이인규 미스터리 장편소설",이인규,전망,2021,,Book,"MK, MN",
315,아무도 돌보지 않은 : 변지안 미스터리 스릴러,변지안,고즈넉이엔티,2021,,Book,"MK, MN",
316,아인슈페너 : 미스터리 스릴러. 에피소드 1,Jb. Yun,보민출판사,2021,,Book,"MK, DN, MN",동일
317,아직도 살아계신가요? : 이승욱 추리소설,이승욱,BG북갤러리,2021,,Book,"MK, DN",
318,왕세자의 살인법 : 서아람 장편소설,서아람,스윙테일,2021,,Book,"MK, DN",
319,위층집 : 어둠을 찢고 울려오는 의문의 소리 : 미스터리 연작소설집,"박성신,윤자영,양수련,김재희",북오션,2021,,Anthology,"MK, DN, MN",동일
320,유령생활기록부 : 나혁진 장편소설,나혁진,몽실북스,2021,,Book,"MK, DN",
321,은퇴 형사 동철수의 영광,최혁곤,시공사,2021,,Book,"MK, DN",
